t,BME_stable h=0.01
0.196,0.980452
0.197,0.980836
0.198,0.981212
0.199,0.981581
0.2,0.981942
0.201,0.982296
0.202,0.982643
0.203,0.982984
0.204,0.983317
0.205,0.983644
0.206,0.983965
0.207,0.984279
0.208,0.984587
0.209,0.984889
0.21,0.985185
0.211,0.985475
0.212,0.985759
0.213,0.986038
0.214,0.986311
0.215,0.986579
0.216,0.986841
0.217,0.987099
0.218,0.987351
0.219,0.987598
0.22,0.98784
0.221,0.988078
0.222,0.988311
0.223,0.988539
0.224,0.988763
0.225,0.988982
0.226,0.989197
0.227,0.989408
0.228,0.989615
0.229,0.989817
0.23,0.990016
0.231,0.990211
0.232,0.990401
0.233,0.990589
0.234,0.990772
0.235,0.990952
0.236,0.991128
0.237,0.991301
0.238,0.99147
0.239,0.991636
0.24,0.991799
0.241,0.991958
0.242,0.992115
0.243,0.992268
0.244,0.992418
0.245,0.992566
0.246,0.99271
0.247,0.992852
0.248,0.992991
0.249,0.993127
0.25,0.99326
0.251,0.993391
0.252,0.993519
0.253,0.993645
0.254,0.993768
0.255,0.993889
0.256,0.994008
0.257,0.994124
0.258,0.994238
0.259,0.994349
0.26,0.994459
0.261,0.994566
0.262,0.994671
0.263,0.994775
0.264,0.994876
0.265,0.994975
0.266,0.995072
0.267,0.995167
0.268,0.995261
0.269,0.995352
0.27,0.995442
0.271,0.99553
0.272,0.995617
0.273,0.995701
0.274,0.995784
0.275,0.995866
0.276,0.995945
0.277,0.996024
0.278,0.9961
0.279,0.996176
0.28,0.996249
0.281,0.996322
0.282,0.996392
0.283,0.996462
0.284,0.99653
0.285,0.996597
0.286,0.996662
0.287,0.996727
0.288,0.99679
0.289,0.996851
0.29,0.996912
0.291,0.996971
0.292,0.997029
0.293,0.997087
0.294,0.997143
0.295,0.997197
0.296,0.997251
0.297,0.997304
0.298,0.997356
0.299,0.997406
0.3,0.997456
0.301,0.997505
0.302,0.997553
0.303,0.9976
0.304,0.997646
0.305,0.997691
0.306,0.997735
0.307,0.997778
0.308,0.997821
0.309,0.997863
0.31,0.997903
0.311,0.997944
0.312,0.997983
0.313,0.998021
0.314,0.998059
0.315,0.998096
0.316,0.998133
0.317,0.998168
0.318,0.998203
0.319,0.998238
0.32,0.998271
0.321,0.998304
0.322,0.998336
0.323,0.998368
0.324,0.998399
0.325,0.99843
0.326,0.99846
0.327,0.998489
0.328,0.998518
0.329,0.998546
0.33,0.998574
0.331,0.998601
0.332,0.998627
0.333,0.998653
0.334,0.998679
0.335,0.998704
0.336,0.998729
0.337,0.998753
0.338,0.998777
0.339,0.9988
0.34,0.998823
0.341,0.998845
0.342,0.998867
0.343,0.998888
0.344,0.998909
0.345,0.99893
0.346,0.99895
0.347,0.99897
0.348,0.99899
0.349,0.999009
0.35,0.999027
0.351,0.999046
0.352,0.999064
0.353,0.999082
0.354,0.999099
0.355,0.999116
0.356,0.999133
0.357,0.999149
0.358,0.999165
0.359,0.999181
0.36,0.999196
0.361,0.999211
0.362,0.999226
0.363,0.999241
0.364,0.999255
0.365,0.999269
0.366,0.999283
0.367,0.999296
0.368,0.99931
0.369,0.999323
0.37,0.999335
0.371,0.999348
0.372,0.99936
0.373,0.999372
0.374,0.999384
0.375,0.999395
0.376,0.999407
0.377,0.999418
0.378,0.999429
0.379,0.99944
0.38,0.99945
0.381,0.99946
0.382,0.999471
0.383,0.99948
0.384,0.99949
0.385,0.9995
0.386,0.999509
0.387,0.999518
0.388,0.999527
0.389,0.999536
0.39,0.999545
0.391,0.999553
0.392,0.999562
0.393,0.99957
0.394,0.999578
0.395,0.999586
0.396,0.999593
0.397,0.999601
0.398,0.999608
0.399,0.999616
0.4,0.999623
0.401,0.99963
0.402,0.999637
0.403,0.999644
0.404,0.99965
0.405,0.999657
0.406,0.999663
0.407,0.999669
0.408,0.999675
0.409,0.999682
0.41,0.999687
0.411,0.999693
0.412,0.999699
0.413,0.999704
0.414,0.99971
0.415,0.999715
0.416,0.999721
0.417,0.999726
0.418,0.999731
0.419,0.999736
0.42,0.999741
0.421,0.999746
0.422,0.99975
0.423,0.999755
0.424,0.999759
0.425,0.999764
0.426,0.999768
0.427,0.999772
0.428,0.999777
0.429,0.999781
0.43,0.999785
0.431,0.999789
0.432,0.999793
0.433,0.999797
0.434,0.9998
0.435,0.999804
0.436,0.999808
0.437,0.999811
0.438,0.999815
0.439,0.999818
0.44,0.999821
0.441,0.999825
0.442,0.999828
0.443,0.999831
0.444,0.999834
0.445,0.999837
0.446,0.99984
0.447,0.999843
0.448,0.999846
0.449,0.999849
0.45,0.999852
0.451,0.999854
0.452,0.999857
0.453,0.99986
0.454,0.999862
0.455,0.999865
0.456,0.999867
0.457,0.99987
0.458,0.999872
0.459,0.999874
0.46,0.999877
0.461,0.999879
0.462,0.999881
0.463,0.999883
0.464,0.999885
0.465,0.999887
0.466,0.999889
0.467,0.999891
0.468,0.999893
0.469,0.999895
0.47,0.999897
0.471,0.999899
0.472,0.999901
0.473,0.999903
0.474,0.999905
0.475,0.999906
0.476,0.999908
0.477,0.99991
0.478,0.999911
0.479,0.999913
0.48,0.999915
0.481,0.999916
0.482,0.999918
0.483,0.999919
0.484,0.999921
0.485,0.999922
0.486,0.999923
0.487,0.999925
0.488,0.999926
0.489,0.999927
0.49,0.999929
0.491,0.99993
0.492,0.999931
0.493,0.999933
0.494,0.999934
0.495,0.999935
0.496,0.999936
0.497,0.999937
0.498,0.999938
0.499,0.99994
0.5,0.999941
0.501,0.999942
0.502,0.999943
0.503,0.999944
0.504,0.999945
0.505,0.999946
0.506,0.999947
0.507,0.999948
0.508,0.999949
0.509,0.99995
0.51,0.99995
0.511,0.999951
0.512,0.999952
0.513,0.999953
0.514,0.999954
0.515,0.999955
0.516,0.999956
0.517,0.999956
0.518,0.999957
0.519,0.999958
0.52,0.999959
0.521,0.999959
0.522,0.99996
0.523,0.999961
0.524,0.999962
0.525,0.999962
0.526,0.999963
0.527,0.999964
0.528,0.999964
0.529,0.999965
0.53,0.999965
0.531,0.999966
0.532,0.999967
0.533,0.999967
0.534,0.999968
0.535,0.999968
0.536,0.999969
0.537,0.99997
0.538,0.99997
0.539,0.999971
0.54,0.999971
0.541,0.999972
0.542,0.999972
0.543,0.999973
0.544,0.999973
0.545,0.999974
0.546,0.999974
0.547,0.999975
0.548,0.999975
0.549,0.999975
0.55,0.999976
0.551,0.999976
0.552,0.999977
0.553,0.999977
0.554,0.999978
0.555,0.999978
0.556,0.999978
0.557,0.999979
0.558,0.999979
0.559,0.999979
0.56,0.99998
0.561,0.99998
0.562,0.999981
0.563,0.999981
0.564,0.999981
0.565,0.999982
0.566,0.999982
0.567,0.999982
0.568,0.999982
0.569,0.999983
0.57,0.999983
0.571,0.999983
0.572,0.999984
0.573,0.999984
0.574,0.999984
0.575,0.999985
0.576,0.999985
0.577,0.999985
0.578,0.999985
0.579,0.999986
0.58,0.999986
0.581,0.999986
0.582,0.999986
0.583,0.999987
0.584,0.999987
0.585,0.999987
0.586,0.999987
0.587,0.999987
0.588,0.999988
0.589,0.999988
0.59,0.999988
0.591,0.999988
0.592,0.999989
0.593,0.999989
0.594,0.999989
0.595,0.999989
0.596,0.999989
0.597,0.999989
0.598,0.99999
0.599,0.99999
0.6,0.99999
0.601,0.99999
0.602,0.99999
0.603,0.999991
0.604,0.999991
0.605,0.999991
0.606,0.999991
0.607,0.999991
0.608,0.999991
0.609,0.999991
0.61,0.999992
0.611,0.999992
0.612,0.999992
0.613,0.999992
0.614,0.999992
0.615,0.999992
0.616,0.999992
0.617,0.999993
0.618,0.999993
0.619,0.999993
0.62,0.999993
0.621,0.999993
0.622,0.999993
0.623,0.999993
0.624,0.999993
0.625,0.999994
0.626,0.999994
0.627,0.999994
0.628,0.999994
0.629,0.999994
0.63,0.999994
0.631,0.999994
0.632,0.999994
0.633,0.999994
0.634,0.999994
0.635,0.999995
0.636,0.999995
0.637,0.999995
0.638,0.999995
0.639,0.999995
0.64,0.999995
0.641,0.999995
0.642,0.999995
0.643,0.999995
0.644,0.999995
0.645,0.999995
0.646,0.999996
0.647,0.999996
0.648,0.999996
0.649,0.999996
0.65,0.999996
0.651,0.999996
0.652,0.999996
0.653,0.999996
0.654,0.999996
0.655,0.999996
0.656,0.999996
0.657,0.999996
0.658,0.999996
0.659,0.999996
0.66,0.999996
0.661,0.999997
0.662,0.999997
0.663,0.999997
0.664,0.999997
0.665,0.999997
0.666,0.999997
0.667,0.999997
0.668,0.999997
0.669,0.999997
0.67,0.999997
0.671,0.999997
0.672,0.999997
0.673,0.999997
0.674,0.999997
0.675,0.999997
0.676,0.999997
0.677,0.999997
0.678,0.999997
0.679,0.999997
0.68,0.999997
0.681,0.999998
0.682,0.999998
0.683,0.999998
0.684,0.999998
0.685,0.999998
0.686,0.999998
0.687,0.999998
0.688,0.999998
0.689,0.999998
0.69,0.999998
0.691,0.999998
0.692,0.999998
0.693,0.999998
0.694,0.999998
0.695,0.999998
0.696,0.999998
0.697,0.999998
0.698,0.999998
0.699,0.999998
0.7,0.999998
0.701,0.999998
0.702,0.999998
0.703,0.999998
0.704,0.999998
0.705,0.999998
0.706,0.999998
0.707,0.999998
0.708,0.999998
0.709,0.999998
0.71,0.999998
0.711,0.999999
0.712,0.999999
0.713,0.999999
0.714,0.999999
0.715,0.999999
0.716,0.999999
0.717,0.999999
0.718,0.999999
0.719,0.999999
0.72,0.999999
0.721,0.999999
0.722,0.999999
0.723,0.999999
0.724,0.999999
0.725,0.999999
0.726,0.999999
0.727,0.999999
0.728,0.999999
0.729,0.999999
0.73,0.999999
0.731,0.999999
0.732,0.999999
0.733,0.999999
0.734,0.999999
0.735,0.999999
0.736,0.999999
0.737,0.999999
0.738,0.999999
0.739,0.999999
0.74,0.999999
0.741,0.999999
0.742,0.999999
0.743,0.999999
0.744,0.999999
0.745,0.999999
0.746,0.999999
0.747,0.999999
0.748,0.999999
0.749,0.999999
0.75,0.999999
0.751,0.999999
0.752,0.999999
0.753,0.999999
0.754,0.999999
0.755,0.999999
0.756,0.999999
0.757,0.999999
0.758,0.999999
0.759,0.999999
0.76,0.999999
0.761,0.999999
0.762,0.999999
0.763,0.999999
0.764,0.999999
0.765,0.999999
0.766,0.999999
0.767,0.999999
0.768,0.999999
0.769,0.999999
0.77,0.999999
0.771,0.999999
0.772,0.999999
0.773,0.999999
0.774,0.999999
0.775,0.999999
0.776,0.999999
0.777,1
0.778,1
0.779,1
0.78,1
0.781,1
0.782,1
0.783,1
0.784,1
0.785,1
0.786,1
0.787,1
0.788,1
0.789,1
0.79,1
0.791,1
0.792,1
0.793,1
0.794,1
0.795,1
0.796,1
0.797,1
0.798,1
0.799,1
0.8,1
0.801,1
0.802,1
0.803,1
0.804,1
0.805,1
0.806,1
0.807,1
0.808,1
0.809,1
0.81,1
0.811,1
0.812,1
0.813,1
0.814,1
0.815,1
0.816,1
0.817,1
0.818,1
0.819,1
0.82,1
0.821,1
0.822,1
0.823,1
0.824,1
0.825,1
0.826,1
0.827,1
0.828,1
0.829,1
0.83,1
0.831,1
0.832,1
0.833,1
0.834,1
0.835,1
0.836,1
0.837,1
0.838,1
0.839,1
0.84,1
0.841,1
0.842,1
0.843,1
0.844,1
0.845,1
0.846,1
0.847,1
0.848,1
0.849,1
0.85,1
0.851,1
0.852,1
0.853,1
0.854,1
0.855,1
0.856,1
0.857,1
0.858,1
0.859,1
0.86,1
0.861,1
0.862,1
0.863,1
0.864,1
0.865,1
0.866,1
0.867,1
0.868,1
0.869,1
0.87,1
0.871,1
0.872,1
0.873,1
0.874,1
0.875,1
0.876,1
0.877,1
0.878,1
0.879,1
0.88,1
0.881,1
0.882,1
0.883,1
0.884,1
0.885,1
0.886,1
0.887,1
0.888,1
0.889,1
0.89,1
0.891,1
0.892,1
0.893,1
0.894,1
0.895,1
0.896,1
0.897,1
0.898,1
0.899,1
0.9,1
0.901,1
0.902,1
0.903,1
0.904,1
0.905,1
0.906,1
0.907,1
0.908,1
0.909,1
0.91,1
0.911,1
0.912,1
0.913,1
0.914,1
0.915,1
0.916,1
0.917,1
0.918,1
0.919,1
0.92,1
0.921,1
0.922,1
0.923,1
0.924,1
0.925,1
0.926,1
0.927,1
0.928,1
0.929,1
0.93,1
0.931,1
0.932,1
0.933,1
0.934,1
0.935,1
0.936,1
0.937,1
0.938,1
0.939,1
0.94,1
0.941,1
0.942,1
0.943,1
0.944,1
0.945,1
0.946,1
0.947,1
0.948,1
0.949,1
0.95,1
0.951,1
0.952,1
0.953,1
0.954,1
0.955,1
0.956,1
0.957,1
0.958,1
0.959,1
0.96,1
0.961,1
0.962,1
0.963,1
0.964,1
0.965,1
0.966,1
0.967,1
0.968,1
0.969,1
0.97,1
0.971,1
0.972,1
0.973,1
0.974,1
0.975,1
0.976,1
0.977,1
0.978,1
0.979,1
0.98,1
0.981,1
0.982,1
0.983,1
0.984,1
0.985,1
0.986,1
0.987,1
0.988,1
0.989,1
0.99,1
0.991,1
0.992,1
0.993,1
0.994,1
0.995,1
0.996,1
0.997,1
0.998,1
0.999,1
1,1
1.001,1
1.002,1
1.003,1
1.004,1
1.005,1
1.006,1
1.007,1
1.008,1
1.009,1
1.01,1
1.011,1
1.012,1
1.013,1
1.014,1
1.015,1
1.016,1
1.017,1
1.018,1
1.019,1
1.02,1
1.021,1
1.022,1
1.023,1
1.024,1
1.025,1
1.026,1
1.027,1
1.028,1
1.029,1
1.03,1
1.031,1
1.032,1
1.033,1
1.034,1
1.035,1
1.036,1
1.037,1
1.038,1
1.039,1
1.04,1
1.041,1
1.042,1
1.043,1
1.044,1
1.045,1
1.046,1
1.047,1
1.048,1
1.049,1
1.05,1
1.051,1
1.052,1
1.053,1
1.054,1
1.055,1
1.056,1
1.057,1
1.058,1
1.059,1
1.06,1
1.061,1
1.062,1
1.063,1
1.064,1
1.065,1
1.066,1
1.067,1
1.068,1
1.069,1
1.07,1
1.071,1
1.072,1
1.073,1
1.074,1
1.075,1
1.076,1
1.077,1
1.078,1
1.079,1
1.08,1
1.081,1
1.082,1
1.083,1
1.084,1
1.085,1
1.086,1
1.087,1
1.088,1
1.089,1
1.09,1
1.091,1
1.092,1
1.093,1
1.094,1
1.095,1
1.096,1
1.097,1
1.098,1
1.099,1
1.1,1
1.101,1
1.102,1
1.103,1
1.104,1
1.105,1
1.106,1
1.107,1
1.108,1
1.109,1
1.11,1
1.111,1
1.112,1
1.113,1
1.114,1
1.115,1
1.116,1
1.117,1
1.118,1
1.119,1
1.12,1
1.121,1
1.122,1
1.123,1
1.124,1
1.125,1
1.126,1
1.127,1
1.128,1
1.129,1
1.13,1
1.131,1
1.132,1
1.133,1
1.134,1
1.135,1
1.136,1
1.137,1
1.138,1
1.139,1
1.14,1
1.141,1
1.142,1
1.143,1
1.144,1
1.145,1
1.146,1
1.147,1
1.148,1
1.149,1
1.15,1
1.151,1
1.152,1
1.153,1
1.154,1
1.155,1
1.156,1
1.157,1
1.158,1
1.159,1
1.16,1
1.161,1
1.162,1
1.163,1
1.164,1
1.165,1
1.166,1
1.167,1
1.168,1
1.169,1
1.17,1
1.171,1
1.172,1
1.173,1
1.174,1
1.175,1
1.176,1
1.177,1
1.178,1
1.179,1
1.18,1
1.181,1
1.182,1
1.183,1
1.184,1
1.185,1
1.186,1
1.187,1
1.188,1
1.189,1
1.19,1
1.191,1
1.192,1
1.193,1
1.194,1
1.195,1
1.196,1
1.197,1
1.198,1
1.199,1
1.2,1
1.201,1
1.202,1
1.203,1
1.204,1
1.205,1
1.206,1
1.207,1
1.208,1
1.209,1
1.21,1
1.211,1
1.212,1
1.213,1
1.214,1
1.215,1
1.216,1
1.217,1
1.218,1
1.219,1
1.22,1
1.221,1
1.222,1
1.223,1
1.224,1
1.225,1
1.226,1
1.227,1
1.228,1
1.229,1
1.23,1
1.231,1
1.232,1
1.233,1
1.234,1
1.235,1
1.236,1
1.237,1
1.238,1
1.239,1
1.24,1
1.241,1
1.242,1
1.243,1
1.244,1
1.245,1
1.246,1
1.247,1
1.248,1
1.249,1
1.25,1
1.251,1
1.252,1
1.253,1
1.254,1
1.255,1
1.256,1
1.257,1
1.258,1
1.259,1
1.26,1
1.261,1
1.262,1
1.263,1
1.264,1
1.265,1
1.266,1
1.267,1
1.268,1
1.269,1
1.27,1
1.271,1
1.272,1
1.273,1
1.274,1
1.275,1
1.276,1
1.277,1
1.278,1
1.279,1
1.28,1
1.281,1
1.282,1
1.283,1
1.284,1
1.285,1
1.286,1
1.287,1
1.288,1
1.289,1
1.29,1
1.291,1
1.292,1
1.293,1
1.294,1
1.295,1
1.296,1
1.297,1
1.298,1
1.299,1
1.3,1
1.301,1
1.302,1
1.303,1
1.304,1
1.305,1
1.306,1
1.307,1
1.308,1
1.309,1
1.31,1
1.311,1
1.312,1
1.313,1
1.314,1
1.315,1
1.316,1
1.317,1
1.318,1
1.319,1
1.32,1
1.321,1
1.322,1
1.323,1
1.324,1
1.325,1
1.326,1
1.327,1
1.328,1
1.329,1
1.33,1
1.331,1
1.332,1
1.333,1
1.334,1
1.335,1
1.336,1
1.337,1
1.338,1
1.339,1
1.34,1
1.341,1
1.342,1
1.343,1
1.344,1
1.345,1
1.346,1
1.347,1
1.348,1
1.349,1
1.35,1
1.351,1
1.352,1
1.353,1
1.354,1
1.355,1
1.356,1
1.357,1
1.358,1
1.359,1
1.36,1
1.361,1
1.362,1
1.363,1
1.364,1
1.365,1
1.366,1
1.367,1
1.368,1
1.369,1
1.37,1
1.371,1
1.372,1
1.373,1
1.374,1
1.375,1
1.376,1
1.377,1
1.378,1
1.379,1
1.38,1
1.381,1
1.382,1
1.383,1
1.384,1
1.385,1
1.386,1
1.387,1
1.388,1
1.389,1
1.39,1
1.391,1
1.392,1
1.393,1
1.394,1
1.395,1
1.396,1
1.397,1
1.398,1
1.399,1
1.4,1
1.401,1
1.402,1
1.403,1
1.404,1
1.405,1
1.406,1
1.407,1
1.408,1
1.409,1
1.41,1
1.411,1
1.412,1
1.413,1
1.414,1
1.415,1
1.416,1
1.417,1
1.418,1
1.419,1
1.42,1
1.421,1
1.422,1
1.423,1
1.424,1
1.425,1
1.426,1
1.427,1
1.428,1
1.429,1
1.43,1
1.431,1
1.432,1
1.433,1
1.434,1
1.435,1
1.436,1
1.437,1
1.438,1
1.439,1
1.44,1
1.441,1
1.442,1
1.443,1
1.444,1
1.445,1
1.446,1
1.447,1
1.448,1
1.449,1
1.45,1
1.451,1
1.452,1
1.453,1
1.454,1
1.455,1
1.456,1
1.457,1
1.458,1
1.459,1
1.46,1
1.461,1
1.462,1
1.463,1
1.464,1
1.465,1
1.466,1
1.467,1
1.468,1
1.469,1
1.47,1
1.471,1
1.472,1
1.473,1
1.474,1
1.475,1
1.476,1
1.477,1
1.478,1
1.479,1
1.48,1
1.481,1
1.482,1
1.483,1
1.484,1
1.485,1
1.486,1
1.487,1
1.488,1
1.489,1
1.49,1
1.491,1
1.492,1
1.493,1
1.494,1
1.495,1
1.496,1
1.497,1
1.498,1
1.499,1
1.5,1
1.501,1
1.502,1
1.503,1
1.504,1
1.505,1
1.506,1
1.507,1
1.508,1
1.509,1
1.51,1
1.511,1
1.512,1
1.513,1
1.514,1
1.515,1
1.516,1
1.517,1
1.518,1
1.519,1
1.52,1
1.521,1
1.522,1
1.523,1
1.524,1
1.525,1
1.526,1
1.527,1
1.528,1
1.529,1
1.53,1
1.531,1
1.532,1
1.533,1
1.534,1
1.535,1
1.536,1
1.537,1
1.538,1
1.539,1
1.54,1
1.541,1
1.542,1
1.543,1
1.544,1
1.545,1
1.546,1
1.547,1
1.548,1
1.549,1
1.55,1
1.551,1
1.552,1
1.553,1
1.554,1
1.555,1
1.556,1
1.557,1
1.558,1
1.559,1
1.56,1
1.561,1
1.562,1
1.563,1
1.564,1
1.565,1
1.566,1
1.567,1
1.568,1
1.569,1
1.57,1
1.571,1
1.572,1
1.573,1
1.574,1
1.575,1
1.576,1
1.577,1
1.578,1
1.579,1
1.58,1
1.581,1
1.582,1
1.583,1
1.584,1
1.585,1
1.586,1
1.587,1
1.588,1
1.589,1
1.59,1
1.591,1
1.592,1
1.593,1
1.594,1
1.595,1
1.596,1
1.597,1
1.598,1
1.599,1
1.6,1
1.601,1
1.602,1
1.603,1
1.604,1
1.605,1
1.606,1
1.607,1
1.608,1
1.609,1
1.61,1
1.611,1
1.612,1
1.613,1
1.614,1
1.615,1
1.616,1
1.617,1
1.618,1
1.619,1
1.62,1
1.621,1
1.622,1
1.623,1
1.624,1
1.625,1
1.626,1
1.627,1
1.628,1
1.629,1
1.63,1
1.631,1
1.632,1
1.633,1
1.634,1
1.635,1
1.636,1
1.637,1
1.638,1
1.639,1
1.64,1
1.641,1
1.642,1
1.643,1
1.644,1
1.645,1
1.646,1
1.647,1
1.648,1
1.649,1
1.65,1
1.651,1
1.652,1
1.653,1
1.654,1
1.655,1
1.656,1
1.657,1
1.658,1
1.659,1
1.66,1
1.661,1
1.662,1
1.663,1
1.664,1
1.665,1
1.666,1
1.667,1
1.668,1
1.669,1
1.67,1
1.671,1
1.672,1
1.673,1
1.674,1
1.675,1
1.676,1
1.677,1
1.678,1
1.679,1
1.68,1
1.681,1
1.682,1
1.683,1
1.684,1
1.685,1
1.686,1
1.687,1
1.688,1
1.689,1
1.69,1
1.691,1
1.692,1
1.693,1
1.694,1
1.695,1
1.696,1
1.697,1
1.698,1
1.699,1
1.7,1
1.701,1
1.702,1
1.703,1
1.704,1
1.705,1
1.706,1
1.707,1
1.708,1
1.709,1
1.71,1
1.711,1
1.712,1
1.713,1
1.714,1
1.715,1
1.716,1
1.717,1
1.718,1
1.719,1
1.72,1
1.721,1
1.722,1
1.723,1
1.724,1
1.725,1
1.726,1
1.727,1
1.728,1
1.729,1
1.73,1
1.731,1
1.732,1
1.733,1
1.734,1
1.735,1
1.736,1
1.737,1
1.738,1
1.739,1
1.74,1
1.741,1
1.742,1
1.743,1
1.744,1
1.745,1
1.746,1
1.747,1
1.748,1
1.749,1
1.75,1
1.751,1
1.752,1
1.753,1
1.754,1
1.755,1
1.756,1
1.757,1
1.758,1
1.759,1
1.76,1
1.761,1
1.762,1
1.763,1
1.764,1
1.765,1
1.766,1
1.767,1
1.768,1
1.769,1
1.77,1
1.771,1
1.772,1
1.773,1
1.774,1
1.775,1
1.776,1
1.777,1
1.778,1
1.779,1
1.78,1
1.781,1
1.782,1
1.783,1
1.784,1
1.785,1
1.786,1
1.787,1
1.788,1
1.789,1
1.79,1
1.791,1
1.792,1
1.793,1
1.794,1
1.795,1
1.796,1
1.797,1
1.798,1
1.799,1
1.8,1
1.801,1
1.802,1
1.803,1
1.804,1
1.805,1
1.806,1
1.807,1
1.808,1
1.809,1
1.81,1
1.811,1
1.812,1
1.813,1
1.814,1
1.815,1
1.816,1
1.817,1
1.818,1
1.819,1
1.82,1
1.821,1
1.822,1
1.823,1
1.824,1
1.825,1
1.826,1
1.827,1
1.828,1
1.829,1
1.83,1
1.831,1
1.832,1
1.833,1
1.834,1
1.835,1
1.836,1
1.837,1
1.838,1
1.839,1
1.84,1
1.841,1
1.842,1
1.843,1
1.844,1
1.845,1
1.846,1
1.847,1
1.848,1
1.849,1
1.85,1
1.851,1
1.852,1
1.853,1
1.854,1
1.855,1
1.856,1
1.857,1
1.858,1
1.859,1
1.86,1
1.861,1
1.862,1
1.863,1
1.864,1
1.865,1
1.866,1
1.867,1
1.868,1
1.869,1
1.87,1
1.871,1
1.872,1
1.873,1
1.874,1
1.875,1
1.876,1
1.877,1
1.878,1
1.879,1
1.88,1
1.881,1
1.882,1
1.883,1
1.884,1
1.885,1
1.886,1
1.887,1
1.888,1
1.889,1
1.89,1
1.891,1
1.892,1
1.893,1
1.894,1
1.895,1
1.896,1
1.897,1
1.898,1
1.899,1
1.9,1
1.901,1
1.902,1
1.903,1
1.904,1
1.905,1
1.906,1
1.907,1
1.908,1
1.909,1
1.91,1
1.911,1
1.912,1
1.913,1
1.914,1
1.915,1
1.916,1
1.917,1
1.918,1
1.919,1
1.92,1
1.921,1
1.922,1
1.923,1
1.924,1
1.925,1
1.926,1
1.927,1
1.928,1
1.929,1
1.93,1
1.931,1
1.932,1
1.933,1
1.934,1
1.935,1
1.936,1
1.937,1
1.938,1
1.939,1
1.94,1
1.941,1
